2021-10-27 11:21:19 - ../i3-4.20/src/handlers.c:handle_event:1380 - event type 85, xkb_base 85
2021-10-27 11:21:19 - ../i3-4.20/src/handlers.c:handle_event:1389 - xkb event, need to handle it.
2021-10-27 11:21:19 - ../i3-4.20/src/handlers.c:handle_event:1415 - xkb state group = 0
2021-10-27 11:21:19 - ../i3-4.20/src/handlers.c:handle_event:1380 - event type 28, xkb_base 85
2021-10-27 11:21:20 - ../i3-4.20/src/handlers.c:handle_event:1380 - event type 10, xkb_base 85
2021-10-27 11:21:20 - ../i3-4.20/src/handlers.c:handle_focus_out:1128 - focus change out: window 0x00800003 (con 0x555c3f4342f0, <unnamed con>) lost focus with detail=Ancestor, mode=Grab
2021-10-27 11:21:20 - ../i3-4.20/src/handlers.c:handle_event:1380 - event type 9, xkb_base 85
2021-10-27 11:21:20 - ../i3-4.20/src/handlers.c:handle_focus_in:1014 - focus change in, for window 0x000006ca
2021-10-27 11:21:20 - ../i3-4.20/src/handlers.c:handle_focus_in:1017 - Received focus in for root window, refocusing the focused window.
2021-10-27 11:21:20 - ../i3-4.20/src/con.c:con_focus:248 - con_focus = 0x555c3f4342f0
2021-10-27 11:21:20 - ../i3-4.20/src/con.c:con_focus:248 - con_focus = 0x555c3f43c850
2021-10-27 11:21:20 - ../i3-4.20/src/con.c:con_focus:248 - con_focus = 0x555c3f42d360
2021-10-27 11:21:20 - ../i3-4.20/src/con.c:con_focus:248 - con_focus = 0x555c3f42bb10
2021-10-27 11:21:20 - ../i3-4.20/src/con.c:con_focus:248 - con_focus = 0x555c3f42a3d0
2021-10-27 11:21:20 - ../i3-4.20/src/x.c:x_push_changes:1198 - -- PUSHING WINDOW STACK --
2021-10-27 11:21:20 - ../i3-4.20/src/x.c:x_push_changes:1273 - PUSHING CHANGES
2021-10-27 11:21:20 - ../i3-4.20/src/x.c:x_push_changes:1330 - Updating focus (focused: 0x555c3f4342f0 / (null)) to X11 window 0x00800003
2021-10-27 11:21:20 - ../i3-4.20/src/x.c:x_push_changes:1366 - ENDING CHANGES
2021-10-27 11:21:20 - ../i3-4.20/src/handlers.c:handle_event:1380 - event type 9, xkb_base 85
2021-10-27 11:21:20 - ../i3-4.20/src/handlers.c:handle_focus_in:1014 - focus change in, for window 0x00e00012
2021-10-27 11:21:20 - ../i3-4.20/src/handlers.c:handle_focus_in:1026 - That is con 0x555c3f437670 / (null)
2021-10-27 11:21:20 - ../i3-4.20/src/handlers.c:handle_focus_in:1030 - FocusIn event for grab/ungrab, ignoring
2021-10-27 11:21:20 - ../i3-4.20/src/handlers.c:handle_event:1380 - event type 2, xkb_base 85
2021-10-27 11:21:20 - ../i3-4.20/src/key_press.c:handle_key_press:23 - KeyPress 116, state raw = 0x50
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding_from_xcb_event:318 - (removed capslock, state = 0x50)
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding_from_xcb_event:343 - (transformed keyboard group, state = 0x10050)
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 68, modifiers_mask = 68, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 70, modifiers_mask = 70, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 84, modifiers_mask = 84, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 86, modifiers_mask = 86, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 65, modifiers_mask = 65, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 67, modifiers_mask = 67, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 81, modifiers_mask = 81, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 83, modifiers_mask = 83, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 65, modifiers_mask = 65, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 67, modifiers_mask = 67, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 81, modifiers_mask = 81, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 83, modifiers_mask = 83, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 65, modifiers_mask = 65, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 67, modifiers_mask = 67, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 81, modifiers_mask = 81, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 83, modifiers_mask = 83, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 65, modifiers_mask = 65, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 67, modifiers_mask = 67, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 81, modifiers_mask = 81, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 83, modifiers_mask = 83, modifiers_state = 80, mods_match = no
